序號,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,避難收容處所名稱,預計收容村里,預計收容人數,適用災害類別,管理人姓名,管理人電話,室內,室外,適合避難弱者安置,TWD97_lon,TWD97_lat,is_indoor
1520,嘉義縣大埔鄉,茄苳村,茄苳村竹圍仔5號,120.591,23.2933,大埔國中小國中室外,茄苳村,200,震災,總務主任,05-2521334,否,是,否,208163.36500063157,2576820.7463732217,False
1521,嘉義縣大埔鄉,茄苳村,8鄰坪林24號,120.5857,23.2934,大埔國中小坪林分校-室內,茄苳村,54,"水災,土石流",茄苳村幹事,05-2521310轉28,是,否,否,207621.25284451642,2576833.3605817608,True
1522,嘉義縣大埔鄉,茄苳村,茄苳村竹圍仔38之1號,120.5902,23.2938,茄苳活動中心,茄苳村,34,水災,茄苳村幹事,05-2521024-103,是,否,否,208081.68859370565,2576876.3471095683,True
1523,嘉義縣大埔鄉,大埔村,大埔村57號,120.5917,23.2944,大埔國中小國小室內,大埔村,50,"水災,土石流",總務主任,05-2521024,是,否,否,208235.31216074488,2576942.35732772,True
1524,嘉義縣大埔鄉,大埔村,大埔村57號,120.5917,23.2944,大埔國中小國小室外,大埔村,200,震災,總務主任,05-2521310轉29,否,是,否,208235.31216074488,2576942.35732772,False
1525,臺南市東山區,東河里,2鄰東河16-1號,120.3857,23.2945,臺南市東山區東河活動中心,東河里,70,水災,吳火生,06-6232966,是,否,是,187163.31507809833,2577027.796751364,True
1526,嘉義縣大埔鄉,大埔村,607嘉義縣大埔鄉53之2號,120.5932,23.2949,大埔圖書館,大埔村,20,水災,黃金菊,05-2521310轉36,是,否,否,208388.9032428358,2576997.295221583,True
1527,臺南市新營區,太北里,太子宮45-2號、45-9號,120.2743,23.2955,臺南市新營區太子爺廟香客大樓,嘉芳里、太北里,150,"水災,震災",曾文貞,06-6524038,是,是,是,175768.38574621585,2577191.2392824776,True
1528,花蓮縣卓溪鄉,卓清村,12鄰18號,121.2703,23.2956,卓樂社區活動中心,卓清村卓樂社區,50,"水災,土石流",劉筠捷,03-8885593,是,否,是,277648.4368213559,2577042.184860856,True
1529,臺東縣長濱鄉,竹湖村,2鄰永福26-2號,121.434067,23.296186,永福社區活動中心,竹湖村,140,"水災,震災,土石流,海嘯",蔡利木,089-831930,是,是,是,294399.8154175279,2577147.7998896264,True
1530,嘉義縣阿里山鄉,茶山村,3鄰47號,120.666773,23.298248,茶山國小室內,茶山村,30,"水災,震災",吳世全,05-2513014,是,是,否,215915.5174526975,2577348.827153718,True
1531,嘉義縣大埔鄉,大埔村,162-9號,120.5938,23.2986,大埔零售公有市場,大埔村,123,水災,葉佳華,05-2522178,是,否,否,208451.42611194792,2577406.8574240287,True
1532,臺南市新營區,南興里,建業路191號,120.298,23.299,臺南市新營區南梓國民小學,南興里、南紙里,700,"水災,震災",林志展,06-6562904,是,是,是,178194.61462624554,2577566.8933701245,True
1533,嘉義縣大埔鄉,大埔村,大埔村137號,120.5942,23.2991,北極殿,大埔村,13,土石流,阮必成/江耀輝,05-2521093/05-2522123,是,否,否,208492.49609764694,2577462.1122772084,True
1534,臺南市鹽水區,舊營里,舊營117號,120.25746,23.299369,臺南市鹽水區仁光國小,舊營里、桐寮里,220,"水災,震災",陳岳男,06-6523620,是,是,是,174047.95800101454,2577628.4353025057,True
1535,臺南市新營區,興業里,公誠街5號,120.3189,23.3036,臺南市新營區公誠國民小學,永生里、興業里、興安里、中營里,650,"水災,震災",陳桂霖,06-6323071#804,是,是,是,180334.87655666049,2578066.1026216815,True
1536,臺南市新營區,延平里,公園路一段136號,120.3063,23.3052,臺南市新營區新民國民小學,民榮里、好平里、延平里、新南里,500,"水災,震災",王秋雅,06-6562152#204,是,是,是,179046.91315393726,2578249.4084093156,True
1537,臺南市新營區,民權里,中正路4號,120.3165,23.3062,臺南市新營區新營國民小學,民權里,1150,"水災,震災",黃明漢,06-6320374,是,是,是,180090.74767200637,2578355.1901061945,True
1538,嘉義縣義竹鄉,西過村,279號,120.2082,23.3064,過路國小-室內,東過 西過 官順 官和,30,水災,謝桐偉校長,05-3437884,是,否,否,169013.3521367347,2578433.7677424964,True
1539,嘉義縣義竹鄉,西過村,279號,120.2082,23.3064,過路國小-室外,東過、西過、官和、官順,300,震災,謝桐偉,3420104,否,是,否,169013.3521367347,2578433.7677424964,False
1540,嘉義縣義竹鄉,官順村,356號,120.1817,23.3067,和順國小-室外,官和 官順,200,震災,張文良校長,3427394,否,是,否,166302.94949435344,2578482.0608748784,False
1541,臺東縣長濱鄉,長濱村,37號,121.440989,23.307393,田組真耶穌教會,長濱村,80,"水災,震災,土石流,海嘯",李金生,089-832469,是,是,是,295104.083453673,2578390.9951950675,True
1542,臺南市新營區,大宏里,民族路21-62號,120.3181,23.3085,臺南市新營區大宏王公社區活動中心,大宏里,150,水災,王瑞和,06-6373770,是,否,是,180255.60252984992,2578609.126712972,True
1543,臺南市新營區,民生里,民治路65號,120.3088,23.3092,臺南市新營區南新國民中學,三仙里、民生里、新北里,1450,"水災,震災",沈志衿,06-6563129#15,是,是,是,179304.74144745577,2578691.15697737,True
1544,臺南市白河區,六溪里,六溪26號,120.4595,23.3092,河東國小六溪分校,六溪里,112,"水災,土石流",蔡育諭,06-6852442,是,否,是,194718.5500680556,2578625.597118887,True
1545,臺南市東山區,聖賢里,19鄰聖賢50-4號,120.3472,23.3096,臺南市東山區聖賢里頂田活動中心,聖賢里,72,水災,林俊儀,06-6331119,是,否,是,183232.57652808214,2578717.22515005,True
1546,臺南市新營區,大宏里,中正路30號,120.3166,23.31,臺南市新營區公所,王公里,150,水災,顏秀珠,06-6322015#221,是,否,是,180102.96228025405,2578775.964133648,True
1547,臺東縣長濱鄉,長濱村,15鄰180號,121.458956,23.314728,長濱國中,長濱村,140,"水災,震災,土石流,海嘯",校長王中興,089-831017,是,是,是,296939.1889539221,2579208.981776972,True
1548,臺南市新營區,忠政里,中正路41號,120.3164,23.315,臺南市新營區新進國民小學,忠政里、埤寮里、護鎮里,850,"水災,震災",許坤鎮,06-6322378#103,是,是,是,180085.12051627313,2579329.7745803986,True
1549,嘉義縣大埔鄉,永樂村,4鄰埔頂13-1號,120.5801,23.3156,埔頂集會所,永樂村,17,"水災,土石流",永樂村幹事,05-2521310轉28,是,否,否,207055.549689255,2579293.421396334,True
1550,臺南市新營區,新東里,東學路77號,120.3273,23.3161,臺南市新營區新泰國民小學,新東里,300,"水災,震災",林佳惠,06-6330496#804,是,是,是,181200.5148780793,2579446.3688271586,True
1551,臺南市東山區,東中里,青葉路一段132號,120.4031,23.3166,臺南市東山區東山國中,全區,1000,"水災,震災",黃旭陽,06-6802175,是,是,是,188953.29220712814,2579467.741337824,True
1552,臺南市鹽水區,橋南里,月津路16號,120.2663,23.3168,臺南市鹽水區月津國小,橋南里、舊營里、岸內里、孫厝里、桐寮里,770,"水災,震災",楊淑敏,06-6521113,是,是,是,174961.9890977295,2579554.1980983857,True
1553,臺南市東山區,聖賢里,9鄰聖賢76-3號,120.3655,23.3169,臺南市東山區北勢寮泉福宮,聖賢里,72,水災,朱順正,06-6330549,是,否,是,185107.8704534946,2579517.321292388,True
1554,臺南市鹽水區,橋南里,治水路254-1號,120.2635,23.3179,臺南市鹽水區老人文康中心,後宅里、水正里、下中里,150,水災,楊晴如,06-6521038#115,是,否,是,174676.2324780918,2579677.470567592,True
1555,花蓮縣玉里鎮,樂合里,樂合65-5號,121.345,23.3183,樂合社區活動中心,樂合里,35,"水災,土石流",陳阿洲,03-8887126,是,否,否,285283.41587970103,2579572.17767045,True
1556,臺南市鹽水區,水仙里,中山路47號,120.2662,23.3197,臺南市鹽水區公所,中境里、汫水里,180,水災,張瑋,06-6521038#110,是,否,是,174953.3895908578,2579875.406632793,True
1557,臺南市新營區,土庫里,土庫71之1號,120.3452,23.3197,臺南市新營區土庫國民小學,土庫里,300,震災,蕭彥鈞,06-6362323#112,否,是,是,183033.07266877755,2579836.646651986,True
1558,臺南市鹽水區,中境里,三福路63號,120.2631,23.3213,臺南市鹽水區鹽水國中,武廟里、岸內里、中境里、水仙里,530,"水災,震災",方崑合,06-6521075,是,是,是,174637.23900169873,2580054.207570775,True
1559,花蓮縣玉里鎮,源城里,水源57-1號,121.3004,23.3219,源城社區活動中心,源城里,35,"水災,土石流",徐永成,03-8889333,是,否,否,280721.2810330754,2579960.666967772,True
1560,臺南市鹽水區,水秀里,朝琴路137號,120.2707,23.3226,臺南市鹽水區鹽水國小,汫水里、水秀里、福得里、岸內里、三生里,390,"水災,震災",盧彥賓,06-6521046,是,是,是,175415.24567731944,2580194.2368891975,True
1561,臺南市東山區,東中里,青葉路二段49號,120.4048,23.3234,臺南市東山區東山國小,全區,800,"水災,震災",蔡青?,06-6802274,是,是,是,189130.25738426275,2580220.0680040265,True
1562,臺南市東山區,東山里,12鄰東山218號,120.4038,23.3252,臺南市東山區碧軒寺,東山里、東中里、東正里、科里里、大客里、三榮里、南溪里、水雲里,300,"水災,土石流",陳金旺,06-6801009,是,否,是,189028.80840454984,2580419.8239446045,True
1563,臺東縣長濱鄉,三間村,2鄰12號,121.439437,23.32597,真柄社區活動中心,三間村,100,"水災,震災,土石流,海嘯",高志偉,089-831567,是,是,是,294939.0984222121,2580447.7228392623,True
1564,花蓮縣玉里鎮,中城里,信義路5號,121.3139,23.3275,玉里慈惠堂,中城里,40,"水災,土石流",何正雄,03-8882921,是,否,否,282100.5619875082,2580583.733534773,True
1565,臺南市後壁區,福安里,福安170-2號,120.3567,23.3288,臺南市後壁區福安社區活動中心,福安里,45,水災,廖國龍,06-6872284#303,是,否,是,184213.70157178113,2580839.1272447924,True
1566,臺東縣長濱鄉,長濱村,24鄰長光105-1號,121.461868,23.329484,長光社區活動中心,長濱村,110,"水災,震災,土石流,海嘯",高德勝,089-831923,是,是,是,297231.7996952506,2580844.0076672886,True
1567,臺南市鹽水區,岸內里,新岸內96號,120.2609,23.3295,臺南市鹽水區岸內國小,義稠里、下中里,50,"水災,震災",蘇淑娟,06-6524651,是,否,是,174416.87493789778,2580963.4547574497,True
1568,嘉義縣布袋鎮,新民里,新塭374號,120.1606,23.3303,新塭國小-室內,新民里,193,水災,周姿吟,05-3431064,是,否,否,164159.85970566762,2581108.011431666,True
1569,嘉義縣布袋鎮,新民里,新塭374號,120.160148,23.330464,新塭國小-室外,新民里、復興里,1139,震災,謝燕慧,05-3431064,否,是,否,164113.73967300184,2581126.4420334115,False
1570,臺南市白河區,關嶺里,關嶺94之3號,120.5074,23.3307,仙草國小關嶺分校,關嶺里,1033,震災,黃萍靖,06-6822317,否,是,是,199625.87426289654,2580989.0348877404,True
1571,臺東縣長濱鄉,忠勇村,58號,121.43699,23.331466,忠勇國小,忠勇村,130,"水災,震災,土石流",潘金枝,089-832412,是,是,是,294687.0139237858,2581055.5908033424,True
1572,臺南市後壁區,長安里,長安105-1號,120.3564,23.3323,臺南市後壁區長安社區活動中心,長安里,50,水災,黃秀梅,06-6872284#303,是,否,是,184184.74590106093,2581226.8621218223,True
1573,臺南市後壁區,頂安里,頂安91-1號,120.3525,23.3327,臺南市後壁區頂安社區活動中心,頂安里,150,水災,林丁和,06-6872284#303,是,否,是,183786.1141317042,2581272.9389483673,True
1574,嘉義縣義竹鄉,仁里村,333-1號,120.241899,23.33444,義竹鄉老人文康中心,"全鄉,",50,水災,顏蔡鄉長淑惠,05-3412001,是,否,否,172476.55142174658,2581520.5866200426,True
1575,臺南市後壁區,烏樹里,烏樹78號,120.3777,23.3347,臺南市後壁區烏樹社區活動中心,烏樹里,20,"水災,震災",詹國鐘,06-6872284#303,是,是,是,186364.11128445633,2581483.1124023455,True
1576,花蓮縣玉里鎮,泰昌里,中正路144號,121.3153,23.3352,中正堂,國武里、泰昌里、啟模里、永昌,100,"水災,土石流",邱國峰,03-8883166206,是,否,否,282241.87368398387,2581436.7332036756,True
1577,嘉義縣義竹鄉,六桂村,245-10號,120.2434,23.3357,義竹鄉修緣禪寺,全鄉,50,水災,蔡主委皆得,05-3412144,是,否,否,172630.77985142995,2581659.3207345735,True
1578,臺南市白河區,大林里,檨子林20之16號,120.4412,23.3357,大林社區活動中心,大林里,65,"水災,土石流",曾遠增,06-6858659,是,否,是,192858.14749740303,2581567.3416874316,True
1579,嘉義縣義竹鄉,六桂村,220-1號,120.2443,23.3358,義竹慈化寺,全鄉,50,水災,翁榮全,05-3412204,是,否,否,172722.87457619642,2581669.9139972217,True
1580,嘉義縣義竹鄉,六桂村,208號,120.2456,23.3359,義竹國小中正堂,全鄉,250,震災,顏蔡鄉長淑惠,05-3412001,否,是,否,172855.87435083176,2581680.294414198,True
1581,嘉義縣義竹鄉,六桂村,208號,120.2456,23.3359,義竹國小-室外,全鄉,1000,震災,林校長曜輝,05-3412025,否,是,否,172855.87435083176,2581680.294414198,False
1582,嘉義縣義竹鄉,平溪村,1號,120.2463,23.3368,南興國小東華分校-室內,後鎮 平溪 新店 北華,40,水災,蔡志榮校長,05-3427394,是,否,否,172927.97784435409,2581779.591063145,True
1583,嘉義縣義竹鄉,平溪村,1號,120.2463,23.3368,南興國小東華分校-室外,後鎮 平溪 新店 北華,100,震災,蔡校長志榮,05-3426194,否,是,否,172927.97784435409,2581779.591063145,False
1584,嘉義縣大埔鄉,永樂村,南寮4號,120.5552,23.3369,南寮土地公廟前廣場,茄苳村,150,"水災,震災",永樂村幹事,05-2521310轉28,否,是,否,204516.16747058663,2581659.7857178184,True
1585,嘉義縣布袋鎮,好美里,虎尾寮106號,120.13813,23.337005,好美國小-室外,好美里,856,震災,蔡旭宮,05-3431524,否,是,否,161866.30094362184,2581864.0775465327,False
1586,嘉義縣布袋鎮,好美里,虎尾寮106號,120.1379,23.3373,好美國小-室內,好美里,45,水災,蔡旭宮,05-3431524,是,否,否,161842.97496458533,2581896.88790232,True
1587,臺南市後壁區,新東里,新東144號,120.3323,23.3377,臺南市後壁區新東長老基督教會,新東里,165,水災,吳慶男,06-6872284#303,是,否,是,181722.93788302285,2581836.0439875736,True
1588,嘉義縣阿里山鄉,新美村,4鄰78號,120.683345,23.337733,新美國小室內,新美村,160,"水災,震災",林坤杉,05-2513015,是,是,否,217620.18017285102,2581717.5373505596,True
1589,花蓮縣玉里鎮,東豐里,東豐石岡32之1號,121.3399,23.3389,東豐社區活動中心,東豐里,25,"水災,土石流",黎煥發,03-8883720,是,否,否,284756.47147926094,2581852.164964978,True
1590,嘉義縣義竹鄉,新店村,77號,120.1928,23.3408,南興國小-室外,新店 北華 平溪,240,震災,蔡志榮校長,05-3412025,否,是,否,167459.3937359246,2582252.0954952193,False
1591,嘉義縣布袋鎮,新岑里,郭岑寮7號之26,120.171569,23.340872,新岑社區活動中心,新岑里,62,水災,蔡裕閔,911779708,是,否,否,165288.35059571825,2582272.347934563,True
1592,臺南市後壁區,竹新里,竹新33號,120.3013,23.3422,臺南市後壁區新厝活動中心,竹新里、新厝里,40,"水災,震災",王虎雄,06-6872284,是,是,是,178555.26958174992,2582349.3645808613,True
1593,嘉義縣義竹鄉,岸腳村,59-2號,120.24985,23.34264,義竹國中-室外,岸腳 義竹 仁里 六桂 傳芳,1000,震災,曾崇賢,05-3412025,否,是,否,173294.36379967348,2582424.4501773296,False
1594,嘉義縣布袋鎮,新岑里,郭岑寮4號,120.174442,23.34271,新岑國小-室外,新岑里,134,震災,謝貞如,05-3431525,否,是,否,165583.30693925614,2582474.218263463,False
1595,臺南市後壁區,竹新里,竹新106號,120.3023,23.3433,臺南市後壁區竹新社區活動中心,竹新里,70,水災,王虎雄,06-6872284#303,是,否,是,178658.1146722012,2582470.6885918025,True
1596,臺南市白河區,仙草里,仙草22號,120.4738,23.3439,仙草國小,仙草里,166,"水災,土石流",呂郁靜,06-6854144,是,否,是,196195.1339978583,2582462.9136635475,True
1597,臺南市白河區,河東里,河東83-1號,120.4378,23.3443,河東國小,河東里、大林里、虎山里、崁頭里,405,震災,蕭敏華,06-6852527,是,是,是,192514.16457289434,2582521.0650365716,True
1598,臺南市後壁區,新嘉里,新嘉210-2號,120.316,23.3444,臺南市後壁區新嘉國小,新嘉里,400,"水災,震災",林良駿,06-6621981,是,是,是,180059.60283755703,2582585.8126663705,True
1599,臺南市白河區,仙草里,仙草埔7之5號,120.4734,23.3449,仙草社區活動中心,仙草里,30,"水災,土石流",謝麗玫,06-6831963,是,否,是,196154.63583226223,2582573.8035760773,True
1600,臺南市白河區,河東里,糞箕湖80之19號,120.4365,23.3456,河東農村社區活動中心,河東里、大林里、虎山里、崁頭里,200,"水災,土石流",吳明凱,06-6830453,是,否,是,192381.7956498805,2582665.5464307806,True
1601,花蓮縣卓溪鄉,卓溪村,7鄰73號,121.3038,23.3457,卓溪多功能活動中心,卓溪村,50,"水災,土石流",施慧玉,03-8980525,是,否,否,281063.45893644233,2582596.973889334,True
1602,臺南市後壁區,嘉苳里,嘉苳67-2號,120.3637,23.351,臺南市後壁區嘉苳社區活動中心,嘉苳里,120,水災,林虔彪,06-6872284#303,是,否,是,184940.3859680517,2583294.4434440485,True
1603,臺南市白河區,永安里,三民路381號,120.4157,23.351,白河區公所,白河里、永安里、秀祐里、外角里,50,"水災,土石流",譚乃澄,06-6855102,是,否,是,190257.3504889947,2583271.9945898713,True
1604,臺南市白河區,永安里,三民路448號,120.4157,23.351,白河國小,白河里、永安里、秀祐里、外角里,200,"水災,土石流",董勝雄,06-6852177,是,否,是,190257.3504889947,2583271.9945898713,True
1605,臺南市白河區,永安里,新興路528號,120.4164,23.3527,白河商工,白河里、永安里、秀祐里、外角里,265,"水災,土石流",邱進興,06-6852054,是,否,是,190329.68488282192,2583459.9665843225,True
1606,臺南市後壁區,仕安里,仕安72號,120.32,23.3539,臺南市後壁區仕安社區活動中心,仕安里,200,"水災,震災",廖育諒,06-6872284#303,是,是,是,180473.5732070871,2583635.944014559,True
1607,臺東縣長濱鄉,長濱村,7鄰48號,121.469004,23.355514,長濱鄉老人會館,長濱村,80,"水災,土石流,海嘯",石晶瑩,089-832596,否,否,否,297952.2069574497,2583728.925661515,True
1608,臺東縣長濱鄉,三間村,7鄰16號,121.467768,23.35573,三間國民小學,三間村,110,"水災,震災,土石流,海嘯",校長李秀琴,089-831306#204,是,是,是,297825.75569392135,2583752.436042896,True
1609,嘉義縣中埔鄉,石?村,石?村藤寮54號,120.5413,23.3558,中山藤寮分校童軍營區前排教室-室內,石?村,50,土石流,李崇傑,05-2531684,是,否,否,203101.4174389067,2583757.21611693,True
1610,嘉義縣番路鄉,草山村,永興22號,120.5914,23.3566,大埔國小永興分校舊校址-室內,草山村,22,土石流,鄭永章,05-2931013,是,否,否,208224.07509453784,2583830.4379327637,True
1611,嘉義縣布袋鎮,光復里,六棟寮40號,120.1809,23.3595,布袋國中-室內,光復里,187,水災,張智雄,05-3472044,是,否,否,166254.23212968284,2584329.8825381626,True
1612,嘉義縣布袋鎮,光復里,六棟寮40號,120.1809,23.3595,布袋國中-室外,光復里、永安里,424,震災,邵冰瑩,05-3472044,否,是,否,166254.23212968284,2584329.8825381626,False
1613,澎湖縣望安鄉,西安村,西安村36-1號,119.496973,23.361206,望安鄉多功能活動中心,望安鄉,150,,歐金星,06-9991311,否,否,否,96322.12565295328,2585080.842719482,True
1614,臺南市白河區,昇安里,三間厝220號,120.4239,23.3614,白河國中,昇安里、庄內里,250,"水災,土石流",于淑英,06-6852067,是,否,是,191100.38284150406,2584420.3439934747,True
1615,嘉義縣中埔鄉,隆興村,2鄰8號,120.5476,23.3627,社口國小 室外,隆興村、社口村,50,土石流,朱家輝,05-2531094#113,是,否,否,203747.9460036103,2584519.2942782203,False
1616,臺南市後壁區,平安里,平安58-5號,120.3334,23.3632,臺南市後壁區平安社區活動中心,平安里,70,水災,廖春旗,06-6622190,是,否,是,181848.44693963934,2584659.472532131,True
1617,臺南市後壁區,後壁里,後壁129號,120.362,23.3658,臺南市後壁區公所總站,總站,120,"水災,震災",林毅正,06-6872284#303,是,是,是,184773.79781023003,2584934.201798534,True
1618,臺南市後壁區,頂長里,長短樹58號,120.3293,23.3659,臺南市後壁區頂長社區活動中心,頂長里,40,水災,蕭國瑞,06-6872284#303,是,否,是,181430.64794960362,2584960.419477759,True
1619,彰化縣二林鎮,西平里,莊敬街26號,120.366378,23.366378,西平社區活動中心,本里,18,"水災,土石流,海嘯",蘇國雄,48960778,否,否,否,185221.67789953283,2584996.241114076,True
1620,彰化縣二林鎮,香田里,儒林路10-1號,120.366378,23.366378,香田國小,香田里,60,"水災,震災,土石流,海嘯",陳麗梅,48967708,否,否,否,185221.67789953283,2584996.241114076,True
1621,彰化縣二林鎮,中西里,中三路1號,120.366378,23.366378,中西社區活動中心,本李,60,"水災,土石流,海嘯",洪正男,48967561,否,否,否,185221.67789953283,2584996.241114076,True
1622,彰化縣二林鎮,廣興里,廣興巷2-1號,120.366378,23.366378,廣興國小,廣興里,75,"水災,震災,土石流,海嘯",詹金水,48955009,否,否,否,185221.67789953283,2584996.241114076,True
1623,彰化縣二林鎮,北平里,明德街249號,120.366378,23.366378,老人文康活動中心,本李,303,"水災,土石流,海嘯",陳凱偉,48961008,否,否,否,185221.67789953283,2584996.241114076,True
1624,臺南市後壁區,後壁里,後壁193號,120.3664,23.3673,臺南市後壁區後壁侯伯社區活動中心,後壁里、侯伯里,150,水災,陳志成,06-6872284#303,是,否,是,185224.37497701458,2585098.3360789446,True
1625,臺南市白河區,大竹里,大竹3號,120.4127,23.3683,大竹國小,大竹里,30,"水災,土石流",林正忠,06-6852508,是,否,是,189958.39023615295,2585189.0744438963,True
1626,嘉義縣中埔鄉,金蘭村,金蘭村頂山門25號,120.509,23.3703,頂六國小活動中心-室內,金蘭村,100,土石流,黎萬元,05-2394042,是,否,否,199804.39133212366,2585373.809183118,True
1627,嘉義縣中埔鄉,中埔村,中正路1號,120.509,23.3703,中埔國小-室外,中埔村、頂埔村、龍門村、??村,2500,震災,葉淑欣,05-2531003,否,是,否,199804.39133212366,2585373.809183118,False
1628,嘉義縣中埔鄉,中埔村,中埔村177號,120.4975,23.3707,中埔國中活動中心-室內,中埔村,500,土石流,何玉翔,05-2531002,是,否,否,198628.8639824291,2585422.149025023,True
1629,臺南市後壁區,新嘉里,新嘉172號,120.3103,23.3721,臺南市後壁區新嘉社區活動中心,新嘉里,55,水災,張細雲,06-6872284#303,是,否,是,179491.38804546863,2585656.176753264,True
1630,臺南市後壁區,仕安里,仕安81號,120.3095,23.3727,臺南市後壁區新東國小,仕安里,400,"水災,震災",林秋美,06-6320902,是,是,是,179409.9183293057,2585723.0137908715,True
1631,臺南市後壁區,土溝里,土溝56-18號,120.3872,23.3734,臺南市後壁區土溝社區活動中心,土溝里,150,水災,林木己,06-6872284#303,是,否,是,187353.77051550173,2585764.6911167586,True
1632,嘉義縣鹿草鄉,光潭村,196號,120.28601,23.373691,下潭國小室外,光潭村,250,震災,謝為任,05-3651544-10,否,是,否,177008.98478201855,2585844.4384474554,False
1633,嘉義縣番路鄉,草山村,22號,120.6371,23.3745,隙頂國小草山分校舊校址-室內,草山村,22,土石流,劉宏基,05-2586331,是,否,否,212901.54224168495,2585800.2051012735,True
1634,嘉義縣鹿草鄉,光潭村,196號,120.286841,23.374584,下潭社區活動中心,本鄉,180,水災,郭海南,05-3651326,是,否,否,177094.42910824186,2585942.9131596116,True
1635,臺南市白河區,竹門里,竹門113號,120.445,23.3766,竹門國小,竹門里、汴頭里、崎內里,95,"水災,土石流",李雯智,06-6851290,是,否,是,193264.1309564252,2586095.1740329727,True
1636,嘉義縣布袋鎮,岱江里,環河街1號,120.1565,23.3773,九江社區活動中心,岱江里,49,水災,黃水上,05-3475835,是,否,否,163770.93597041434,2586315.5214926507,True
1637,臺南市後壁區,菁寮里,菁寮77號,120.3351,23.3785,臺南市後壁區菁寮墨林社區活動中心,菁寮里,100,水災,楊端立,06-6872284#303,是,否,是,182030.0563353994,2586353.0440295353,True
1638,臺南市後壁區,墨林里,墨林282號,120.339,23.3787,臺南市後壁區菁寮國小,墨林里、菁寮里、後?里,400,"水災,震災",戴淑娟,06-6621271,是,是,是,182428.85064436196,2586373.3621051996,True
1639,嘉義縣布袋鎮,岑海里,文昌街61號,120.1522,23.3788,布新國小-室內,岑海里,133,水災,陳靖鈞,05-3476886,是,否,否,163332.3102088034,2586484.216036356,True
1640,臺南市後壁區,菁豊里,菁豐68-3號,120.3469,23.3788,臺南市後壁區菁豐社區活動中心,菁豐里,200,水災,楊玉年,06-6872284#303,是,否,是,183236.50758429634,2586380.76128609,True
1641,嘉義縣布袋鎮,岑海里,文昌街61號,120.152166,23.378925,布新國小-室外,岑海里,1003,震災,陳靖鈞,05-3476886,否,否,否,163328.9156213068,2586498.0797754014,False
1642,嘉義縣義竹鄉,東光村,64號,120.2474,23.3795,光榮國小-室內,東光 東榮 溪洲 龍蛟,70,水災,林秀英校長黃俊璋主任,05-3420104,是,否,否,173065.09473312018,2586507.7982319845,True
1643,嘉義縣義竹鄉,東光村,64號,120.2474,23.3795,光榮國小-室外,東光、東榮、溪洲、龍蛟,280,震災,林秀英,05-3420104,否,是,否,173065.09473312018,2586507.7982319845,False
1644,臺南市白河區,玉豐里,玉豐85號,120.4159,23.3802,玉豐國小,玉豐里、廣安里、詔安里、蓮潭里,50,"水災,土石流",紀美娟,06-6852524,是,否,是,190290.874765488,2586505.57971405,True
1645,花蓮縣玉里鎮,大禹里,大禹226號,121.3289,23.3805,大禹社區活動中心,大禹里,40,"水災,土石流",張添富,03-8886293,是,否,否,283621.172458223,2586456.3170071105,True
1646,臺南市後壁區,墨林里,墨林321號,120.3358,23.3808,臺南市後壁區德馨宮,墨林里,120,水災,殷獻政,06-6872284#303,是,否,是,182102.78837406676,2586607.424504959,True
1647,嘉義縣中埔鄉,中埔村,中埔村中正路1號,120.5307,23.3815,中埔國小活動中心-室內,中埔國小,100,土石流,陳威良,05-2531003,是,否,否,202026.87817259924,2586606.731216525,True
1648,嘉義縣中埔鄉,同仁村,同仁24號,120.5307,23.3815,同仁國小 室外,同仁村、瑞豐村,600,震災,張勝雄,05-2531205#105,否,是,否,202026.87817259924,2586606.731216525,False
1649,臺南市後壁區,崁頂里,崁頂38-2號,120.3451,23.3818,臺南市後壁區崁頂社區活動中心,崁頂里,100,水災,黃啟明,06-6872284#303,是,否,是,183054.00312669872,2586713.8245956646,True
1650,嘉義縣布袋鎮,東港里,東港130號之21,120.191066,23.381869,布袋鎮立幼兒園,東港里,96,水災,周宜穎,05-3478391,是,否,否,167307.53912118782,2586801.298828338,True
1651,嘉義縣布袋鎮,見龍里,內田2號之4,120.1808,23.382,見龍社區活動中心,見龍里,55,水災,邱弘毓,921551168,是,否,否,166258.14094956953,2586821.724584515,True
1652,嘉義縣布袋鎮,新厝里,65號,120.1712,23.3824,布袋國小-室內,新厝里,140,水災,李天讚,05-3472007,是,否,否,165276.9984214778,2586871.624761529,True
1653,嘉義縣布袋鎮,新厝里,新厝仔65號,120.1712,23.3824,布袋國小-室外,龍江里、新厝里、見龍里、光復里、興中里,1407,震災,李天讚,05-3472007,否,是,否,165276.9984214778,2586871.624761529,False
1654,嘉義縣布袋鎮,東港里,東港136號,120.1933,23.3827,景山國小-室外,東港里、振寮里、考試里、江山里,396,震災,蔡惠芬,05-3472734,否,是,否,167536.43220513838,2586892.0507184556,False
1655,嘉義縣阿里山鄉,山美村,61號,120.668975,23.383138,山美國小室內,山美村,100,"水災,震災",溫麗珍,05-2586520,是,是,否,216162.27163977863,2586748.9444602337,True
1656,嘉義縣鹿草鄉,碧潭村,18之3號,120.297035,23.38451,碧潭社區活動中心,本鄉,50,水災,林國軒,05-3651608,是,否,否,178141.94050691836,2587037.048430807,True
